33,162.75
46,67.0
48,200.0
7,209.66666666666666
77,350.0
8,120.0
84,150.0
91,63.833333333333336
AA,391.223203285421
AB,262.3333333333333
AE,110.47453468697145
AF,70.71428571428571
AK,134.5374265365648
AL,186.38125260649488
AM,71.75
AP,154.34767710049454
AR,187.05272509798044
AS,94.6758426966292
AZ,144.18735030393316
BC,201.32142857142858
BR,152.77222222222224
CA,168.4811428597517
CO,156.10878806372114
CT,229.38327370514696
DC,227.13567497230605
DE,147.2251684732929
DI,37.5
FF,1777.9630872483222
FL,203.84617497393762
FM,108.46428571428571
GA,179.75448559759528
GE,18.333333333333332
GU,195.71933333333322
HA,100.0
HI,124.67854998737339
IA,136.08401832428672
ID,183.53729309620599
IL,461.35759656918145
IN,141.86848364887902
IT,1000.0
KS,157.12067714945263
KY,179.73433321503748
LA,228.05786232516556
MA,188.56480825250316
MB,250.0
MD,153.6136528710634
ME,140.87804903555715
MH,400.0
MI,163.12532427799462
MN,152.79328138045898
MO,184.55851621736647
MP,137.62709677419355
MS,219.45861701540468
MT,161.91615949367178
NC,144.32748324104764
ND,166.48828849270623
NE,179.20685740561046
NH,152.8757172150258
NJ,177.18990203061338
NM,137.9975661236647
NO,88.63636363636364
NS,531.25
NV,185.6282432685567
NY,204.0840408247626
OH,174.2567809008314
OK,224.08626693857957
ON,158.31944444444446
OR,120.14386688171717
PA,170.1342637946784
PE,150.66666666666666
PR,242.90972698634926
PW,133.33333333333334
QC,100.0
QU,145.86206896551724
RI,139.46382732875153
SA,68.22727272727273
SC,168.85751975979252
SD,191.6275100872057
SO,250.0
TE,136.66666666666666
TN,196.18036025885044
TX,233.04921313551054
UK,1250.0
UT,236.83294340295288
VA,176.86033516906213
VI,125.78165522809857
VT,134.96165926695687
WA,142.56755939292285
WE,55.775
WI,154.56055696640504
WV,168.1993534765201
WY,238.93978123806
XX,1013.6646301775148
ZZ,282.2928124999999
